from_hospital,to_center,driving_distance
1314,GJETP,1651.264
1314,GKITP,1117.434
1314,GKLTP,1601.182
1314,GLPTP,1580.752
1314,GMBTP,1469.263
1314,GMHTP,1975.388
1314,GMLTP,1991.371
1314,GMNTP,1454.389
1314,GMZTP,1712.921
1314,GNBTP,1772.91
1314,GRBTP,1890.649
1314,GROTP,1306.844
1314,GTUTP,1889.609
1314,GWZTP,1692.645
1314,HBSTP,2349.206
1314,NGRTP,1469.032
1314,NLBTP,1677.584
1314,NRDTP,1676.195
1314,SLOTP,2386.014
30,AGATP,221.825
30,AIBTP,314.976
30,AWGTP,181.572
30,BANTP,943.105
30,BBRTP,962.661
30,BGETP,999.188
30,BLATP,939.448
30,BLGTP,864.714
30,BLMTP,918.532
30,CZATP,404.237
30,CZMTP,402.656
30,CZPTP,404.237
30,GAKTP,807.317
30,GBCTP,717.182
30,GBOTP,712.744
30,GESTP,791.182
30,GFMTP,555.891
30,GGOTP,681.459
30,GHBTP,543.974
30,GHGTP,931.255
30,GHOTP,790.033
30,GHSTP,658.721
30,GJETP,507.576
30,GKITP,1023.695
30,GKLTP,736.571
30,GLPTP,563.815
30,GMBTP,651.375
30,GMHTP,237.659
30,GMLTP,250.038
30,GMNTP,834.636
30,GMZTP,585.859
30,GNBTP,349.938
30,GRBTP,233.397
30,GROTP,910.718
30,GTUTP,475.782
30,GWZTP,436.011
30,HBSTP,434.199
30,NGRTP,989.729
30,NLBTP,1000.382
30,NRDTP,1001.818
30,SLOTP,408.768
28,AGATP,203.786
28,AIBTP,297.074
28,AWGTP,196.317
28,BANTP,912.286
28,BBRTP,931.842
28,BGETP,968.368
28,BLATP,908.628
28,BLGTP,833.894
28,BLMTP,887.712
28,CZATP,386.198
28,CZMTP,384.616
28,CZPTP,386.198
28,GAKTP,776.498
28,GBCTP,686.362
28,GBOTP,681.925
28,GESTP,760.363
28,GFMTP,525.072
28,GGOTP,650.64
28,GHBTP,513.154
28,GHGTP,900.435
28,GHOTP,759.214
28,GHSTP,627.902
28,GJETP,476.756
28,GKITP,992.876
28,GKLTP,705.751
28,GLPTP,532.996
28,GMBTP,620.555
28,GMHTP,206.839
28,GMLTP,219.219
28,GMNTP,803.816
28,GMZTP,555.04
28,GNBTP,319.119
28,GRBTP,202.577
28,GROTP,879.898
28,GTUTP,444.962
28,GWZTP,405.191
28,HBSTP,448.944
28,NGRTP,958.91
28,NLBTP,969.562
28,NRDTP,970.998
28,SLOTP,390.729
46,AGATP,192.908
