from_hospital,to_center,total_time_byplane
172,AWGTP,2.8051915362997866
172,BANTP,1.3465153935141867
172,BBRTP,1.4849999999999999
172,BGETP,1.844178448814632
172,BLATP,1.2149999999999999
172,BLGTP,1.6582483609865788
172,BLMTP,1.4033333333333329
172,CZATP,2.6756877733841256
172,CZMTP,2.6340211067174586
172,CZPTP,2.6756877733841256
172,GAKTP,1.4258807984327406
172,GBCTP,2.48956472262385
172,GBOTP,1.8373836310359666
172,GESTP,1.6406818068829034
172,GFMTP,1.8196877902197033
172,GGOTP,2.4632961019501955
172,GHBTP,1.7415394937365352
172,GHGTP,1.879729161899538
172,GHOTP,1.9658639821319557
172,GHSTP,1.8481580867032552
172,GJETP,2.616718707665041
172,GKITP,1.942715235298846
172,GKLTP,1.7373836310359667
172,GLPTP,2.110360551378499
172,GMBTP,1.8767667862257702
172,GMHTP,2.306584790008617
172,GMLTP,2.4682514566752842
172,GMNTP,1.7725792083788772
172,GMZTP,2.008021123553036
172,GNBTP,2.014051110182953
172,GRBTP,2.904918123341947
172,GROTP,2.4005813000648244
172,GTUTP,2.0888049265521453
172,GWZTP,3.019051110182953
172,HBSTP,2.853770656526987
172,NGRTP,1.7347808225244365
172,NLBTP,1.7092399743966604
172,NRDTP,1.3742399743966605
172,SLOTP,2.629617420763644
359,AGATP,2.6755945967223775
359,AIBTP,2.119837501808808
359,AWGTP,2.939262632296633
359,BANTP,1.8121924772598748
359,BBRTP,1.9956818068829034
359,BGETP,2.3536260582136004
359,BLATP,1.7256818068829034
359,BLGTP,2.0181381079478125
359,BLMTP,1.9140151402162364
359,CZATP,2.8452788102026485
359,CZMTP,2.8036121435359815
359,CZPTP,2.8452788102026485
359,GAKTP,1.6635690216288541
359,GBCTP,2.5890959639955633
359,GBOTP,1.977056494112301
359,GESTP,1.7400000000000002
359,GFMTP,1.979961131795388
359,GGOTP,2.563871011722262
359,GHBTP,1.9329402862364302
359,GHGTP,2.0075566374533524
359,GHOTP,2.072490209722318
